wave,flux,sigma
3300.0000000000005,0.05293596286855497,0.008276505213026066
3311.0318870238752,0.05642170749436524,0.00790052593724907
3322.1006535769357,0.06283863739703814,0.007641810889937495
3333.2064229988164,0.06666323518253524,0.00747505324653829
3344.349318964206,0.06080645991428613,0.0072474165797711786
3355.52946558699,0.061008623555072375,0.007104057836856186
3366.7469873959726,0.06690381830411735,0.006992641018066739
3378.0020093362546,0.08205077291106874,0.006699066031700253
3389.2946567706267,0.06290629403982476,0.006658492328667159
3400.6250554809667,0.06265854081105603,0.006509142173057526
3411.9933316696415,0.0683122574496908,0.006237005124303369
3423.3996119609133,0.0709501414205734,0.006291636600756725
3434.844023402349,0.07548837237350456,0.006231966045426843
3446.3266934662315,0.07019808685454762,0.0060606732942457935
3457.847750050986,0.06913051249729171,0.005966021963103131
3469.4073214825994,0.07501041759237641,0.005971331095498625
3481.0055365160556,0.07815017159241194,0.005900184037958926
3492.6425243367635,0.08441275489710681,0.00580361077518681
3504.318414561997,0.07297707501530115,0.0057296933921286135
3516.033337242342,0.09287589838174781,0.005586833875777004
3527.7874228631417,0.08246134529851915,0.005572285993791645
3539.5808023459526,0.08900017856882113,0.0054831370876596355
3551.4136070500026,0.08844400570312735,0.005386511376110474
3563.28596877365,0.07599859480920781,0.005287424076518924
3575.198019755855,0.06944891789245178,0.005199011615955307
3587.149892677652,0.07298994996022641,0.005093567300500802
3599.1417206636297,0.06928930212406353,0.005048754719729059
3611.173637283412,0.08338201345339888,0.004911101208833624
3623.2457765531435,0.08280620465010297,0.0048185310903125856
3635.3582729369846,0.09363229182868421,0.004786560178145188
3647.511261348607,0.1127605846020323,0.004842826065737311
3659.7048771527016,0.14037272026545317,0.00491226367067492
3671.9392561664827,0.16705050419933692,0.004953074957836852
3684.2145346612006,0.16805284984145627,0.004951610095548173
3696.5308493636576,0.16678501924091824,0.004849072724824832
3708.8883374577335,0.144067967546831,0.004754487302943859
3721.2871365859164,0.12085420254972758,0.004583316918671002
3733.7273848508326,0.11020909499965933,0.004336721441648015
3746.2092208167815,0.09824849093410135,0.004153729636553765
3758.7327835112833,0.10089578102915828,0.0040789423920615875
3771.298212426627,0.09155599270230785,0.00400084838794706
3783.9056475214256,0.08702486898242696,0.0038644589890330953
3796.555229222173,0.096763220385335,0.003921287118100373
3809.247098424805,0.10311111451617748,0.004008292455122881
3821.981396496276,0.10570923077159539,0.003946008238490054
3834.758265276125,0.10238708384596798,0.0039646831557377344
3847.577847078064,0.11726227799203001,0.003954871810227483
3860.4402846915605,0.13191301802926525,0.0039860621763497285
3873.3457213834213,0.14789575628899412,0.004119624855398397
3886.294300899397,0.179605818144856,0.004263231454175978
3899.2861674657775,0.20920617477608344,0.00442017224882915
3912.3214657910025,0.23441885075101554,0.004540428314870336
3925.4003410672735,0.2554050993914907,0.004633445161772691
3938.5229389721653,0.2641952920692781,0.0047925236561128836
3951.689405670252,0.2803034930841135,0.00471659359555298
3964.8998878147377,0.25094186076421787,0.0044219167099511965
3978.154532549086,0.22073405705603708,0.004150892306355346
3991.453487508664,0.19474586852937337,0.003940394862685939
