wave,flux,sigma
3300.0000000000005,0.06774699951741216,0.002964141713576152
3311.0318870238752,0.073133618956957,0.002891711704322185
3322.1006535769357,0.07349959515939826,0.0027944074298075533
3333.2064229988164,0.0722292625425894,0.0027173611275763624
3344.349318964206,0.07213872721499326,0.0026367189199839073
3355.52946558699,0.07396447642200657,0.002601378834597212
3366.7469873959726,0.07409844911109648,0.00257252116049939
3378.0020093362546,0.07935890707432294,0.002506188483992844
3389.2946567706267,0.08604868371122892,0.002559637799162124
3400.6250554809667,0.09454952851187681,0.00256059685226847
3411.9933316696415,0.09316598346206054,0.00251926407987129
3423.3996119609133,0.09481907912964999,0.002500533352924467
3434.844023402349,0.09639437341151463,0.0024525789408938754
3446.3266934662315,0.10298133576807056,0.00236922418309683
3457.847750050986,0.10594431962934629,0.0023871738665152725
3469.4073214825994,0.10729772078258595,0.002456106885986165
3481.0055365160556,0.10663577558166784,0.0024886577059809343
3492.6425243367635,0.12288581305172694,0.002458073699375138
3504.318414561997,0.13900346354874837,0.002450339172625635
3516.033337242342,0.15443947470308694,0.0024640228267834158
3527.7874228631417,0.16503280572780277,0.0024951215997346993
3539.5808023459526,0.16907703334948854,0.002546853147714715
3551.4136070500026,0.17966645538174503,0.0025990116058512733
3563.28596877365,0.18757938757030526,0.002634091254491307
3575.198019755855,0.20045695526399016,0.002625752390685052
3587.149892677652,0.200431744697118,0.00257461400821596
3599.1417206636297,0.18694002346171262,0.0024896102052277985
3611.173637283412,0.17435999047565476,0.0024191516692032814
3623.2457765531435,0.17543035360068698,0.00240102596955928
3635.3582729369846,0.19245696511983268,0.00244464131455813
3647.511261348607,0.2192129849194333,0.0025078540612285412
3659.7048771527016,0.24585942542594186,0.0025463672444033052
3671.9392561664827,0.25864695191582643,0.0025419115464515715
3684.2145346612006,0.25797255074067926,0.0024746402672227107
3696.5308493636576,0.22316028737516358,0.0023775136509303113
3708.8883374577335,0.19498265959629973,0.002269690496354221
3721.2871365859164,0.1776822290581428,0.0021877259053187676
3733.7273848508326,0.17070046793186527,0.002097851096517206
3746.2092208167815,0.17600267699279082,0.0020307623221533936
3758.7327835112833,0.15852705295648883,0.001998327482889655
3771.298212426627,0.13883464465772333,0.0019270031090383017
3783.9056475214256,0.12872874736396983,0.0018662238972045706
3796.555229222173,0.13441349050759643,0.0018710681405942052
3809.247098424805,0.1447997462944693,0.0019079859089830731
3821.981396496276,0.1636699813205149,0.0019462453814659895
3834.758265276125,0.1938478314510116,0.002056312506799814
3847.577847078064,0.22505744219810736,0.0021945332332207377
3860.4402846915605,0.28286329666662846,0.0023251559359426573
3873.3457213834213,0.32278314958334453,0.002458219240362103
3886.294300899397,0.34833915099853574,0.0025657836295525267
3899.2861674657775,0.3668962375676429,0.00268053341825618
3912.3214657910025,0.3954535821800628,0.0027109718396038686
3925.4003410672735,0.4016419702783701,0.002628656585398424
3938.5229389721653,0.3978063534672791,0.0025537428860566516
3951.689405670252,0.3890245377262124,0.002483156896818081
3964.8998878147377,0.3599110573005009,0.0023763846085700677
3978.154532549086,0.32147520407766605,0.0022912999490394387
3991.453487508664,0.28713968604544937,0.002211459599123351
4004.796900822377,0.26454553059877,0.00218265290148792
4018.18492111433,0.2572026321466319,0.0021639298246632576
4031.617697505474,0.26791493185010096,0.0021007420374108453
4045.0953796152735,0.2685537416668492,0.002060389597637797
4058.618117563371,0.2702376462062075,0.002063880510593062
4072.1860619712556,0.2703726986757484,0.0020543697633336497
4085.799363963945,0.264960476789993,0.00200291856542902
4099.458175171663,0.2606749810720985,0.0019660298418032155
4113.162647731542,0.2674906710800292,0.0019606761232375996
4126.912934289301,0.26895557535596376,0.0019760115879475793
4140.709188000954,0.27959099470940346,0.002008923134984794
4154.551562534517,0.2963166949938367,0.0020638320015803797
4168.440212071713,0.30648928448480883,0.002086990899729667
4182.3752913097,0.30248043293699317,0.0020836251720998166
4196.356955462785,0.30093809298303964,0.0020647724928269462
4210.385360264156,0.29505948748540345,0.00204308078261339
4224.460661967617,0.29473211155582263,0.002013165236071214
4238.583017349324,0.2865579970264649,0.0019745798178797485
4252.752583709542,0.2768024162014835,0.001927285682644086
4266.969518874386,0.2651419315456862,0.0018903176581357424
4281.233981197582,0.2660160972839478,0.0018710490626105535
4295.5461295622345,0.26337324693303954,0.0018507715471886412
4309.906123382591,0.2505586207227475,0.001830421830287629
4324.314122605823,0.23317830950246773,0.0017940873632473495
4338.770287713807,0.21403937495859598,0.0017156743528882645
4353.274779724901,0.1942387641886028,0.0016281814044076849
4367.827760195754,0.17400401147107147,0.0015765564767998752
4382.429391223097,0.1608012745340145,0.0015385253786432648
4397.079835445547,0.15586225638516843,0.0014930638569527947
4411.779256045427,0.15411400593248345,0.001492904003833612
4426.527816750571,0.1663099097139153,0.0015238976176068638
4441.32568183616,0.1813619883647602,0.0015640933554267984
4456.17301612654,0.20567112348972144,0.0016356077655139357
