wave,flux,sigma
3300.0000000000005,0.006588690435894154,0.005138403915727111
3311.0318870238752,0.014267659465830924,0.0049654922767345755
3322.1006535769357,0.00893693699288764,0.0048625554431666225
3333.2064229988164,0.019188719463485628,0.004681385328877565
3344.349318964206,0.0090745071100282,0.004509950573868201
3355.52946558699,0.0032437039811691495,0.004363639304867999
3366.7469873959726,0.013095815819595197,0.004199075409110787
3378.0020093362546,0.010322988497902101,0.004114009413220995
3389.2946567706267,0.0029502261661073764,0.004049266573521123
3400.6250554809667,0.0009258741937565808,0.003981502761020336
3411.9933316696415,0.0121394824769136,0.003911993776460982
3423.3996119609133,0.012391030578415823,0.003940109195968425
3434.844023402349,0.014186106422152648,0.0038211759993892385
3446.3266934662315,0.008736557882726658,0.003698288853789071
3457.847750050986,0.013668565243639828,0.003683275832440371
3469.4073214825994,0.015521314723120716,0.0037043242590882965
3481.0055365160556,0.009558284264547997,0.0035831316826418595
3492.6425243367635,0.008615099091947824,0.003413637763671897
3504.318414561997,0.013396814886324583,0.0033239400364535264
3516.033337242342,0.013229895523462012,0.003321842178397161
3527.7874228631417,0.01827099487204001,0.003272558155673274
3539.5808023459526,0.016473931123420493,0.0033382255457333906
3551.4136070500026,0.022093061501358376,0.0033524359568920495
3563.28596877365,0.01838996861411621,0.003334026420437226
3575.198019755855,0.016743999539125053,0.0032578651200992027
3587.149892677652,0.01836347984204907,0.003203762803712289
3599.1417206636297,0.02706520342754776,0.003150560859891542
3611.173637283412,0.019901725830475295,0.003162095279065321
3623.2457765531435,0.01842902406334719,0.0030495105407781814
3635.3582729369846,0.020964917194577992,0.002975066814564619
3647.511261348607,0.02370819766357837,0.002900814743136406
3659.7048771527016,0.024260081860750314,0.002827277138942521
3671.9392561664827,0.024484462973081808,0.0028331314691771815
3684.2145346612006,0.028653600671259417,0.002823548001335352
3696.5308493636576,0.03401688533507465,0.0028347911908138705
3708.8883374577335,0.039277845795904855,0.0028002635870698904
3721.2871365859164,0.03478886419311793,0.0027030464563557073
3733.7273848508326,0.029560321664883,0.002505923340959916
3746.2092208167815,0.02493941493571755,0.002422560590492102
3758.7327835112833,0.021194382494217998,0.0024559190057201336
3771.298212426627,0.021117546549188456,0.0024298530032526742
3783.9056475214256,0.017187142854492094,0.002392892287967737
3796.555229222173,0.014923993366725605,0.0023882736296445516
3809.247098424805,0.01152538812729513,0.0023900227003561536
3821.981396496276,0.012118042676695471,0.0022518676217979923
3834.758265276125,0.016403967106795692,0.0022287173765265793
3847.577847078064,0.024434493059317726,0.0022716957408660345
3860.4402846915605,0.028138936097473054,0.0022900449719518074
3873.3457213834213,0.034257438514471696,0.002375113411615975
3886.294300899397,0.041575130334344144,0.0025597297040005403
