wave,flux,sigma
3300.0000000000005,0.009286501407163162,0.0018813125896840353
3311.0318870238752,0.006655095650111039,0.0018127328325128322
3322.1006535769357,0.009387123128447285,0.0017406145225397265
3333.2064229988164,0.010259716334336208,0.0016848633569042511
3344.349318964206,0.009329548831295411,0.0016412295561817384
3355.52946558699,0.011793549825074827,0.0015857417577512132
3366.7469873959726,0.012355043322683088,0.0015465536342637828
3378.0020093362546,0.013785643032017923,0.0014855938155735856
3389.2946567706267,0.015179104144171448,0.0014742512575712146
3400.6250554809667,0.018876772067466123,0.0014306099845899003
3411.9933316696415,0.016187359326820947,0.0013867618287659615
3423.3996119609133,0.0163306643635743,0.0013735520425650185
3434.844023402349,0.01711381517896028,0.0013610112753470898
3446.3266934662315,0.018981055207748204,0.0013227092203151507
3457.847750050986,0.01684436479115657,0.0013032664068253937
3469.4073214825994,0.017663389303315517,0.0012821744257468437
3481.0055365160556,0.019670561847849953,0.0012548069054515102
3492.6425243367635,0.021205550079550342,0.001227351705963939
3504.318414561997,0.022907769910205284,0.0012265918654757832
3516.033337242342,0.023245206478496153,0.00123352233016207
3527.7874228631417,0.02431568787474296,0.0012392746168121346
3539.5808023459526,0.02612938388516535,0.0012243788871716778
3551.4136070500026,0.027268718953198996,0.001210171805471437
3563.28596877365,0.030317173850517666,0.0011989399218894417
3575.198019755855,0.030614181413116368,0.0011929141725235376
3587.149892677652,0.029601466691352753,0.0011960941189604966
3599.1417206636297,0.030657055537858885,0.0011858481398702174
3611.173637283412,0.030871068952630438,0.0011595830751777582
3623.2457765531435,0.032813684063451684,0.001150115786867146
3635.3582729369846,0.03864793116244425,0.001131797999635148
3647.511261348607,0.03944957185677724,0.001134474552514216
3659.7048771527016,0.04776928669180354,0.00114477934668385
3671.9392561664827,0.053200971112787744,0.0011688607815801833
3684.2145346612006,0.05562491693388262,0.0011645116483448756
3696.5308493636576,0.05299713745889012,0.0011360555507705624
3708.8883374577335,0.041544438019224396,0.001084614038876954
3721.2871365859164,0.03190623464066968,0.0009980676134686522
3733.7273848508326,0.02508944436686806,0.000911965262560372
3746.2092208167815,0.01890016804232688,0.0008456418941764684
3758.7327835112833,0.016894221667357427,0.0008184115705949041
3771.298212426627,0.017388440723237926,0.0008052601238507824
3783.9056475214256,0.01846915425883093,0.0007922396621113067
3796.555229222173,0.02108240582420015,0.0008053010527327099
3809.247098424805,0.025185708001048662,0.0008394569623007602
3821.981396496276,0.032302579481250704,0.0008757537021310991
3834.758265276125,0.03865419228757133,0.0009332178604182847
3847.577847078064,0.04726278821180831,0.0009668459498172868
3860.4402846915605,0.054827957749515134,0.0009908168528018387
3873.3457213834213,0.06362204575028685,0.0010236939944181997
3886.294300899397,0.07155483238180979,0.0010415871477456372
3899.2861674657775,0.07473676048924166,0.0010623690623883886
3912.3214657910025,0.08082645034311567,0.0010816587081532397
3925.4003410672735,0.0852342263658878,0.0010921684742109113
3938.5229389721653,0.08636709940816276,0.0011388926994572717
3951.689405670252,0.08988525276094503,0.001148761524886859
3964.8998878147377,0.08680345670299688,0.001106252664056164
3978.154532549086,0.08665055460397172,0.0010429010395232496
3991.453487508664,0.07677397343939142,0.0009771851614370065
4004.796900822377,0.06859778423853724,0.0009295314241131958
4018.18492111433,0.061587068276389434,0.0009051630476818324
4031.617697505474,0.05828523160561083,0.0008779095835789565
4045.0953796152735,0.054175215994673225,0.000868148848556391
4058.618117563371,0.05177138509657353,0.0008666438560043907
4072.1860619712556,0.05155715954660647,0.0008465013889509723
4085.799363963945,0.04881421062507234,0.0008104815938613837
4099.458175171663,0.049570849982956404,0.0007814434446504206
4113.162647731542,0.047849243347540746,0.0007677785274020937
