wave,flux,sigma
3300.0000000000005,0.05319013515492109,0.055533323018088394
3311.0318870238752,-0.04169300075969827,0.05453187010634288
3322.1006535769357,-0.07126635632059689,0.05281755626348058
3333.2064229988164,-0.0006194401208727248,0.0525699810809429
3344.349318964206,0.026115755683228867,0.05147771572898512
3355.52946558699,-0.0036465168118691186,0.05002606529834749
3366.7469873959726,0.06017053234299089,0.04804295740759236
3378.0020093362546,0.013430261649230883,0.047133179753775976
3389.2946567706267,0.11398984023741934,0.04725409126591748
3400.6250554809667,0.03263247928297068,0.04704834918257592
3411.9933316696415,-0.03768309338676046,0.044876492625848016
3423.3996119609133,0.038609104048150086,0.04415561767451694
3434.844023402349,-0.005704799779421361,0.04258299129721379
3446.3266934662315,-0.002922274171751432,0.040305704538464514
3457.847750050986,-0.013769385446938912,0.039780929722189
3469.4073214825994,-0.048896803169626885,0.04042763037495886
3481.0055365160556,0.003360646084152572,0.03978991030040859
3492.6425243367635,0.05285075059881855,0.03824082467140592
3504.318414561997,0.05038843911400799,0.036316079052819604
3516.033337242342,0.03354007168649056,0.03486453657314183
3527.7874228631417,0.04265704890830824,0.03468160644219795
3539.5808023459526,0.04223132296887616,0.03474041357425785
3551.4136070500026,0.07818895812078151,0.03529582200832387
3563.28596877365,0.10576512485136585,0.03520620811603142
3575.198019755855,0.0587967552733752,0.03467594497299477
3587.149892677652,0.021186722198447236,0.03372260890668829
3599.1417206636297,0.02543380690377716,0.032875521551317795
3611.173637283412,0.062051079648448026,0.032442505469067406
3623.2457765531435,0.08100604583253061,0.03146383193566683
3635.3582729369846,0.04885918057357168,0.030451536285775484
3647.511261348607,0.04501791925856294,0.02976053218896639
3659.7048771527016,0.10445361350330565,0.028991646717854945
3671.9392561664827,0.059649535093888886,0.028319390905673425
3684.2145346612006,0.054021470873940984,0.027493334654938438
3696.5308493636576,0.08393832922887379,0.027452808883292733
3708.8883374577335,0.009708682039196575,0.02790246511723903
3721.2871365859164,0.05366425096234527,0.027869071340464485
3733.7273848508326,0.07136678899472532,0.027382657410106655
3746.2092208167815,0.08371213316945544,0.026451533914365385
3758.7327835112833,0.015842239889514213,0.02621057539920586
3771.298212426627,0.034328262245562575,0.02626369002659442
3783.9056475214256,0.09536646149184033,0.025704611923970586
3796.555229222173,0.008985292945312896,0.025512698993181003
3809.247098424805,0.07133977662040294,0.0261329385600935
3821.981396496276,0.10648550301847909,0.02705006440355864
3834.758265276125,0.11250280158568855,0.026913605295050068
3847.577847078064,0.1311354231358598,0.02486380113334196
3860.4402846915605,0.04970278715719424,0.023693430594529056
3873.3457213834213,0.12905298112418206,0.023782559388984586
3886.294300899397,0.14388479299132304,0.023704289800085848
3899.2861674657775,0.12235231603423453,0.02401898418807325
3912.3214657910025,0.16415112653599642,0.02427853070592673
3925.4003410672735,0.1452407668333688,0.02441467434433862
3938.5229389721653,0.1426751021316159,0.024128636182781032
3951.689405670252,0.17901150589670106,0.02325281017832095
3964.8998878147377,0.11267068312946063,0.022483936423823698
3978.154532549086,0.12795871419441587,0.021827984866658563
3991.453487508664,0.10050668913390329,0.0214251022310193
4004.796900822377,0.12187838433173172,0.021095851836018732
4018.18492111433,0.0996634083216209,0.020962440563996675
4031.617697505474,0.08443046691982947,0.020344658501952655
