wave,flux,sigma
3300.0000000000005,0.007074627114671896,0.00773440470860028
3311.0318870238752,0.020624440367728578,0.0077221265320425985
3322.1006535769357,0.0362291099131623,0.007384556160035611
3333.2064229988164,0.027675637865159475,0.007454750860072781
3344.349318964206,0.018513003324245787,0.00723617093752709
3355.52946558699,0.01775819685227204,0.007015440910762459
3366.7469873959726,0.019310528477765695,0.00699849161921279
3378.0020093362546,0.028977013220969072,0.006729219765317003
3389.2946567706267,0.021726162547318687,0.006811769646581583
3400.6250554809667,0.028251896231654586,0.006908795179665747
3411.9933316696415,0.023366191617570437,0.006816233261971958
3423.3996119609133,0.02963099123068454,0.006747654156575297
3434.844023402349,0.048227029906085586,0.00636893358786013
3446.3266934662315,0.03059453957883661,0.005939984769516245
3457.847750050986,0.035780122524399716,0.005880775308505839
3469.4073214825994,0.034692357057645826,0.00612456052056183
3481.0055365160556,0.042742555015901185,0.006163399095661381
3492.6425243367635,0.0548680186207405,0.006087445413159796
3504.318414561997,0.05995444444942868,0.00597445720920185
3516.033337242342,0.05619849387748457,0.006010856308668298
3527.7874228631417,0.05814615384004956,0.00600714029030705
3539.5808023459526,0.05467781216125624,0.005950136441066063
3551.4136070500026,0.06416079556136173,0.005997862046526669
3563.28596877365,0.06484201084319716,0.00609965269860863
3575.198019755855,0.08310750448846113,0.005993824340151961
3587.149892677652,0.07073328036554719,0.005837966691332043
3599.1417206636297,0.05868167601035455,0.005605842748736613
3611.173637283412,0.05109492424734835,0.005555244549713304
3623.2457765531435,0.0769288702775402,0.005707592377293428
3635.3582729369846,0.09503977989111967,0.00579498201669847
3647.511261348607,0.10213403994520233,0.005749863941229781
3659.7048771527016,0.10614929743543797,0.005539248359912681
3671.9392561664827,0.10887311807275224,0.005307400704774778
3684.2145346612006,0.11734146267618045,0.005064469742482449
3696.5308493636576,0.11287448755660778,0.0051113485397840325
3708.8883374577335,0.10148613527183414,0.00528598829652758
3721.2871365859164,0.11412917226672664,0.005293400838280218
3733.7273848508326,0.12396903040898716,0.005258161997875282
3746.2092208167815,0.1373670562945471,0.005237973998722864
3758.7327835112833,0.11033664699437716,0.005361651570418672
3771.298212426627,0.11319495434324608,0.005014387653092642
3783.9056475214256,0.08060851677266666,0.004649787797182993
3796.555229222173,0.07606810479214957,0.004567095166992098
