wave,flux,sigma
3300.0000000000005,0.05975788884588967,0.002042407061808694
3311.0318870238752,0.0638872312733954,0.0019556237916120095
3322.1006535769357,0.0667418811216957,0.0018924873670288212
3333.2064229988164,0.06590085899463825,0.001839178501212169
3344.349318964206,0.06512397236392264,0.001779543223390804
3355.52946558699,0.07154763685372818,0.0017286613659745927
3366.7469873959726,0.06963947857335331,0.0016800208044391671
3378.0020093362546,0.07182668154839478,0.0015779111450676194
3389.2946567706267,0.07680818666729135,0.0015843378028288673
3400.6250554809667,0.08785791358674354,0.0015438895563363087
3411.9933316696415,0.08722903016849293,0.0014779745047495462
3423.3996119609133,0.08399495050402014,0.0014729616486090767
3434.844023402349,0.08958994673595946,0.0014399996214585166
3446.3266934662315,0.09217679084372082,0.0013930956317558087
3457.847750050986,0.0939675708600986,0.0013669397472034649
3469.4073214825994,0.09547728051938319,0.001367561900486126
3481.0055365160556,0.09780972563086586,0.0013604323336430977
3492.6425243367635,0.1070086806909314,0.001351833483200209
3504.318414561997,0.1218966297218027,0.0013649992332154656
3516.033337242342,0.1376171981200422,0.0013844393564702712
3527.7874228631417,0.14499318374294917,0.0013868644084424682
3539.5808023459526,0.1470480550498585,0.0013796566079360025
3551.4136070500026,0.15809455873662587,0.0013797029875267475
3563.28596877365,0.1630493224942149,0.0014112450272194526
3575.198019755855,0.1657860973253104,0.0014189870116480372
3587.149892677652,0.17413571899310581,0.0014077562680564456
3599.1417206636297,0.16706648937236268,0.0013623001201558758
3611.173637283412,0.149846999240381,0.0013150111926890713
3623.2457765531435,0.14382051667112838,0.0012761941815333125
3635.3582729369846,0.14652214702595204,0.0012599326634429864
3647.511261348607,0.15766405921235976,0.0012602102119866542
3659.7048771527016,0.17903271894792733,0.0012643182861811614
3671.9392561664827,0.2002291404179441,0.0012709483180230376
3684.2145346612006,0.21511190940531483,0.001277927246022272
3696.5308493636576,0.20957200332663817,0.0012464567223215922
3708.8883374577335,0.1800267980468761,0.0011999970209351529
3721.2871365859164,0.15943292949780172,0.001150269989629824
3733.7273848508326,0.15808818590366047,0.0011125032625513896
3746.2092208167815,0.1659090152347726,0.001115890236155005
3758.7327835112833,0.17114141424976642,0.0011184883420264997
3771.298212426627,0.15905551126787637,0.0010884804855644508
3783.9056475214256,0.14626176081963274,0.001024824498763495
3796.555229222173,0.148039461001983,0.0010018616379969699
3809.247098424805,0.15454229758110388,0.0009990458316843942
3821.981396496276,0.1709358381981746,0.0010079015729380692
3834.758265276125,0.19770397826713668,0.0010707874480855564
3847.577847078064,0.23632068696167113,0.0011250449608864387
3860.4402846915605,0.27338048720669905,0.0011895185883483907
3873.3457213834213,0.314876787234202,0.0012629216934112186
3886.294300899397,0.3526882405444522,0.0013117522546381337
3899.2861674657775,0.3791652909728518,0.0013107053705025378
3912.3214657910025,0.37928651283604253,0.0013030478551342998
3925.4003410672735,0.39282701507293183,0.0013052214774672416
3938.5229389721653,0.41423003970656325,0.0013373683146137507
3951.689405670252,0.43901290403569393,0.0013563696348670657
3964.8998878147377,0.42928229132535045,0.0013438766511173867
3978.154532549086,0.3882722183780222,0.0013180457716478627
3991.453487508664,0.35315873834453104,0.0012661697871349086
4004.796900822377,0.2988952438835477,0.0012022917678556784
4018.18492111433,0.2665193544847722,0.0011209568079280725
4031.617697505474,0.2708025768275492,0.0010634528066667348
4045.0953796152735,0.2900898862556523,0.0010600243072565146
4058.618117563371,0.3005050960050499,0.0010796874079278243
4072.1860619712556,0.28814476468228595,0.0010846352007578151
4085.799363963945,0.27993627635514773,0.0010729768636737213
4099.458175171663,0.27692600267843476,0.0010629354542161427
4113.162647731542,0.27165363076002824,0.0010359730635314554
4126.912934289301,0.26819532802626267,0.0010075418838090596
4140.709188000954,0.2677647888302373,0.0009975309761606286
4154.551562534517,0.2883475555104396,0.0010158970336853793
4168.440212071713,0.31577563772155826,0.0010374888574693068
4182.3752913097,0.31395694915828987,0.001041452609525815
4196.356955462785,0.3081518140881469,0.0010269079482510936
4210.385360264156,0.30259757051385705,0.0010093817720082659
4224.460661967617,0.2999966956867141,0.0009939831272809112
4238.583017349324,0.2946412363028814,0.0009687297398610879
4252.752583709542,0.282273094683561,0.000939643693042677
4266.969518874386,0.27857169306873014,0.0009158801646165604
4281.233981197582,0.2840177420714204,0.0009126674289813429
4295.5461295622345,0.28896893103876004,0.0009120466004755522
4309.906123382591,0.2735064349649208,0.0009057959739011367
4324.314122605823,0.2579140726273054,0.0008887106341952432
4338.770287713807,0.23426902438358096,0.0008478284840318172
4353.274779724901,0.20942374571322955,0.000797656780553598
4367.827760195754,0.18842774402003193,0.0007675342792643502
4382.429391223097,0.17269321634104995,0.0007418145920438512
4397.079835445547,0.15628909536463415,0.0007099903041999624
4411.779256045427,0.1526366308625886,0.00070233326059829
4426.527816750571,0.16227847229626652,0.0007126859263351408
4441.32568183616,0.17549495583708774,0.0007221420407004018
4456.17301612654,0.18819267829234354,0.0007485104157181369
4471.06998499707,0.20929478447576566,0.0007706067982324942
4486.01675437596,0.2260116442291738,0.0007960864136723934
4501.013490746111,0.2498742013329424,0.0008244430529716001
4516.060361146975,0.2887181309144311,0.0008655109546713503
4531.157533176423,0.33268501505786585,0.0009153360365593218
4546.3051749926035,0.3814618940404375,0.0009549337637103937
4561.503455315809,0.4166081492514955,0.0009950422533642857
4576.752543430374,0.44148725814876033,0.001011911956345623
