id,sn,phase,z,MB,x0,x1,c,path,hubble_resid
PTF11bnx_11_140_076_003,PTF11bnx,45.271691849973486,0.055108,18.2875249787,0.000871577676751,-0.0457197546293,0.0771460029912,spectra_sncosmo/PTF11bnx_11_140_076_003.txt,0.3320039661016949
PTF11bnx_11_142_052_003,PTF11bnx,47.032306771754484,0.055108,18.2875249787,0.000871577676751,-0.0457197546293,0.0771460029912,spectra_sncosmo/PTF11bnx_11_142_052_003.txt,0.3320039661016949
PTF09dnl_09_239_056_003,PTF09dnl,-5.130854847008703,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_239_056_003.txt,-0.18271763491226878
PTF09dnl_09_243_050_003,PTF09dnl,-1.2283455151923892,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_243_050_003.txt,-0.18271763491226878
PTF09dnl_09_245_048_003,PTF09dnl,0.7327485500084677,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_245_048_003.txt,-0.18271763491226878
PTF09dnl_09_245_048_006,PTF09dnl,0.7490344522833432,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_245_048_006.txt,-0.18271763491226878
PTF09dnl_09_247_057_003,PTF09dnl,2.6911282981623272,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_247_057_003.txt,-0.18271763491226878
PTF09dnl_09_247_057_006,PTF09dnl,2.7067356211736757,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_247_057_006.txt,-0.18271763491226878
PTF09dnl_09_249_056_003,PTF09dnl,4.644757991492828,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_249_056_003.txt,-0.18271763491226878
PTF09dnl_09_249_056_006,PTF09dnl,4.660365314504177,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_249_056_006.txt,-0.18271763491226878
PTF09dnl_09_252_056_003,PTF09dnl,7.605399308605322,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_252_056_003.txt,-0.18271763491226878
PTF09dnl_09_254_061_003,PTF09dnl,9.574636324940062,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_254_061_003.txt,-0.18271763491226878
PTF09dnl_09_257_051_003,PTF09dnl,12.434847911384743,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_257_051_003.txt,-0.18271763491226878
PTF09dnl_09_261_053_003,PTF09dnl,16.344821615078523,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_261_053_003.txt,-0.18271763491226878
PTF09dnl_09_262_055_003,PTF09dnl,17.3138328002381,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_262_055_003.txt,-0.18271763491226878
PTF09dnl_09_262_055_006,PTF09dnl,17.336904495126912,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_262_055_006.txt,-0.18271763491226878
PTF09dnl_09_264_049_003,PTF09dnl,19.26339101799455,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_264_049_003.txt,-0.18271763491226878
PTF09dnl_09_264_049_006,PTF09dnl,19.293248505497303,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_264_049_006.txt,-0.18271763491226878
PTF09dnl_09_267_044_003,PTF09dnl,22.188746213524514,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_267_044_003.txt,-0.18271763491226878
PTF09dnl_09_272_045_003,PTF09dnl,27.085374163172688,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_272_045_003.txt,-0.18271763491226878
PTF09dnl_09_274_054_003,PTF09dnl,29.0193250579249,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_274_054_003.txt,-0.18271763491226878
PTF09dnl_09_274_054_006,PTF09dnl,29.041718173543078,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_274_054_006.txt,-0.18271763491226878
PTF09dnl_09_277_035_003,PTF09dnl,31.96164473498616,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_277_035_003.txt,-0.18271763491226878
PTF09dnl_09_279_044_003,PTF09dnl,33.9424175987582,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_279_044_003.txt,-0.18271763491226878
PTF09dnl_09_283_043_003,PTF09dnl,37.8272838697868,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_283_043_003.txt,-0.18271763491226878
PTF09dnl_09_287_042_003,PTF09dnl,41.71147156155899,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_287_042_003.txt,-0.18271763491226878
PTF09dnl_09_287_042_006,PTF09dnl,41.73657899422416,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_287_042_006.txt,-0.18271763491226878
PTF09dnl_09_289_047_003,PTF09dnl,43.66170835857185,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_289_047_003.txt,-0.18271763491226878
PTF09dnl_09_289_047_006,PTF09dnl,43.686815791244136,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_289_047_006.txt,-0.18271763491226878
PTF09dnl_09_292_053_003,PTF09dnl,46.59588508449923,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_292_053_003.txt,-0.18271763491226878
PTF09dnl_09_294_043_003,PTF09dnl,48.549514777822615,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_294_043_003.txt,-0.18271763491226878
PTF09dnl_09_299_048_003,PTF09dnl,53.429856825203025,0.02338,15.8605404393,0.00815328358968,0.760347287865,0.0407797669028,spectra_sncosmo/PTF09dnl_09_299_048_003.txt,-0.18271763491226878
PTF09dnp_09_239_052_003,PTF09dnp,-1.244592389473122,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_239_052_003.txt,-0.24737227857943012
PTF09dnp_09_243_046_003,PTF09dnp,2.606022551926622,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_243_046_003.txt,-0.24737227857943012
PTF09dnp_09_245_044_003,PTF09dnp,4.5323343562051335,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_245_044_003.txt,-0.24737227857943012
PTF09dnp_09_245_044_006,PTF09dnp,4.547734137741926,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_245_044_006.txt,-0.24737227857943012
PTF09dnp_09_247_053_003,PTF09dnp,6.461324383355338,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_247_053_003.txt,-0.24737227857943012
PTF09dnp_09_247_053_006,PTF09dnp,6.477393720620577,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_247_053_006.txt,-0.24737227857943012
PTF09dnp_09_249_052_003,PTF09dnp,8.38897529907671,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_249_052_003.txt,-0.24737227857943012
PTF09dnp_09_249_052_006,PTF09dnp,8.405044636334935,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_249_052_006.txt,-0.24737227857943012
PTF09dnp_09_252_050_003,PTF09dnp,11.281456006230394,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_252_050_003.txt,-0.24737227857943012
PTF09dnp_09_254_057_003,PTF09dnp,13.221828480609851,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_254_057_003.txt,-0.24737227857943012
PTF09dnp_09_257_049_003,PTF09dnp,16.09489207190517,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_257_049_003.txt,-0.24737227857943012
PTF09dnp_09_261_051_003,PTF09dnp,19.95153301477675,0.037172,16.8249429765,0.00335612439763,-0.531027912785,-0.0266926690691,spectra_sncosmo/PTF09dnp_09_261_051_003.txt,-0.24737227857943012
